"Name","Code","Year","World Trade","Revealed Comparative Advantage (RCA)","Distance","Product Complexity Index (PCI)","Opportunity Gain","Sector"
"Machinery for the industrial preparation of food or drink","8438 HS92","2021","$14.5B","0.0787","0.878","0.586","0.958","Machinery"
"Bananas and plantains","0803 HS92","2021","$14.4B","0.0424","0.782","-1.92","-0.281","Agriculture"
"Other bars and rods of other alloy steel","7228 HS92","2021","$14.4B","0.0038","0.857","0.354","0.66","Metals"
"Compounds of precious metals","2843 HS92","2021","$14.2B","0","0.955","2.24","0.981","Chemicals"
"Padlocks and locks","8301 HS92","2021","$14.2B","0.306","0.875","0.937","0.993","Metals"
"Plastic floor coverings","3918 HS92","2021","$14.0B","0.0084","0.903","0.73","0.634","Chemicals"
"Stearic acid","1519 HS92","2021","$14.0B","0.276","0.877","-1.06","0.06","Agriculture"
"Rape or colza seeds","1205 HS92","2021","$13.9B","0","0.883","0.224","0.506","Agriculture"
"Halogenated derivatives of hydrocarbons","2903 HS92","2021","$13.9B","0.0109","0.922","0.946","0.818","Chemicals"
"Socks, stockings, etc., knit","6115 HS92","2021","$13.9B","0.299","0.789","-0.94","0.167","Textiles"
"Toiletries","3307 HS92","2021","$13.9B","0.291","0.848","0.336","0.596","Chemicals"
"Unsaturated acyclic monocarboxylic acids","2916 HS92","2021","$13.9B","0.0105","0.918","1.37","1.1","Chemicals"
"Particle board and similar board","4410 HS92","2021","$13.8B","0.0057","0.853","0.0985","0.508","Agriculture"
"Ships' derricks; cranes","8426 HS92","2021","$13.7B","0.315","0.897","0.361","1.17","Machinery"
"Precious metal ores","2616 HS92","2021","$13.7B","0.772","0.801","-1.99","-0.275","Minerals"
"Ink","3215 HS92","2021","$13.6B","0.0078","0.89","0.814","0.731","Chemicals"
"Glass containers for conveyance","7010 HS92","2021","$13.2B","0.381","0.821","-0.603","0.304","Stone"
"Silicon & rare gases","2804 HS92","2021","$13.0B","0.0021","0.883","-0.316","0.571","Chemicals"
"Articles of cement, of concrete or of artificial stone","6810 HS92","2021","$13.0B","0.411","0.853","0.441","0.655","Stone"
"Textile fabrics impregnated with plastics","5903 HS92","2021","$12.9B","0.21","0.905","1.1","1.1","Textiles"
"Buses","8702 HS92","2021","$12.9B","0.293","0.856","0.105","0.443","Vehicles"
"Confectionery sugar","1704 HS92","2021","$12.7B","0.816","0.815","-0.583","0.257","Agriculture"
"Special purpose motor vehicles","8705 HS92","2021","$12.7B","0.12","0.873","-0.021","0.572","Vehicles"
"Fiberboard of wood","4411 HS92","2021","$12.7B","0.0091","0.847","0.0364","0.351","Agriculture"
"Legumes, dried","0713 HS92","2021","$12.6B","0.45","0.789","-2.09","-0.395","Agriculture"
"Anti-knock","3811 HS92","2021","$12.5B","0.0043","0.912","0.73","0.602","Chemicals"
"Paper used for graphic purposes","4802 HS92","2021","$12.4B","0.0121","0.888","0.42","0.733","Agriculture"
"Electric soldering machines","8515 HS92","2021","$12.3B","0.0427","0.935","1.51","1.4","Electronics"
"Parts of railway locomotives","8607 HS92","2021","$12.3B","0.0507","0.885","0.649","0.849","Vehicles"
"Christmas and other festivity articles","9505 HS92","2021","$12.2B","0.002","0.889","-0.101","0.0015","Machinery"
"Brooms and mops","9603 HS92","2021","$12.2B","0.0824","0.873","-0.0291","0.667","Machinery"
"Worked building stone","6802 HS92","2021","$12.1B","0.845","0.813","-0.93","0.157","Stone"
"Other paper cut to size","4823 HS92","2021","$12.0B","0.46","0.854","0.311","0.752","Agriculture"
"Rapeseed, colza or mustard oil,","1514 HS92","2021","$12.0B","0.002","0.886","0.652","0.769","Agriculture"
