"Name","Code","Year","World Trade","Revealed Comparative Advantage (RCA)","Distance","Product Complexity Index (PCI)","Opportunity Gain","Sector"
"Aluminum powders","7603 HS92","2021","$888M","0","0.91","0.55","0.774","Metals"
"Bookbinding machinery","8440 HS92","2021","$881M","0.0021","0.905","1.01","1.15","Machinery"
"Carbon paper","4809 HS92","2021","$880M","0.0385","0.901","0.601","0.732","Agriculture"
"Prepared explosives, except gunpowder","3602 HS92","2021","$878M","0.738","0.832","-0.829","0.11","Chemicals"
"Vinegars","2209 HS92","2021","$869M","0.622","0.876","0.143","0.764","Agriculture"
"Vegetable textile fibers","5305 HS92","2021","$863M","0.0137","0.832","-1.7","-0.208","Textiles"
"Woven fabrics of carded wool","5111 HS92","2021","$862M","0.471","0.893","0.53","0.818","Textiles"
"Flour of dried legumes","1106 HS92","2021","$855M","0.0752","0.797","-1.72","-0.169","Agriculture"
"Halides of nonmetals","2812 HS92","2021","$848M","0.0077","0.94","1.67","1.01","Chemicals"
"Other paints and varnishes","3210 HS92","2021","$848M","0.0741","0.847","0.0928","0.691","Chemicals"
"Uncoated composite paper","4807 HS92","2021","$844M","0.0903","0.886","0.542","0.766","Agriculture"
"Architectural ceramic ornaments","6905 HS92","2021","$844M","0.0277","0.883","0.731","0.931","Stone"
"Silicates","2839 HS92","2021","$842M","0.0142","0.842","-0.333","0.226","Chemicals"
"Articles of yarn, rope etc not elsewhere clasified","5609 HS92","2021","$828M","0.0485","0.804","-0.536","0.186","Textiles"
"Molybdenum","8102 HS92","2021","$826M","0.0083","0.908","0.877","0.98","Metals"
"Vulcanized rubber thread and cord","4007 HS92","2021","$821M","0","0.905","0.24","0.105","Chemicals"
"Water gas generators","8405 HS92","2021","$820M","0.151","0.863","0.139","0.774","Machinery"
"Hop cones","1210 HS92","2021","$818M","0","0.909","0.161","0.645","Agriculture"
"Bovine leather further prepared","4107 HS92","2021","$818M","0.0494","0.824","-0.92","0.102","Agriculture"
"Rubber textiles","5604 HS92","2021","$811M","0.0265","0.853","-0.0577","0.504","Textiles"
"Derivatives of phenols","2908 HS92","2021","$799M","0","0.903","0.852","0.577","Chemicals"
"Woven silk fabrics","5007 HS92","2021","$794M","0.0145","0.884","0.367","0.558","Textiles"
"Tar distilled from coal, lignite etc.","2706 HS92","2021","$765M","0.0301","0.874","0.16","0.455","Minerals"
"Drawn and blown glass","7004 HS92","2021","$763M","0.0412","0.903","-0.0272","0.458","Stone"
"Slates and boards, with writing or drawing surfaces","9610 HS92","2021","$762M","0.0264","0.88","0.569","0.776","Machinery"
"Zinc plates and foil","7905 HS92","2021","$756M","0","0.915","1.1","1.17","Metals"
"Aluminum containers for compressed or liquefied gas","7613 HS92","2021","$754M","0.0098","0.899","0.415","0.777","Metals"
"Peanut oil","1508 HS92","2021","$752M","0.0027","0.869","-2.47","-0.0799","Agriculture"
"Hydrides, nitrides, azides, silicides and borides","2850 HS92","2021","$742M","0","0.93","1.68","0.989","Chemicals"
"Non-radioactive isotopes","2845 HS92","2021","$740M","0","0.903","0.435","0.487","Chemicals"
"Worked slate","6803 HS92","2021","$729M","0.109","0.877","-0.209","0.296","Stone"
"Wine, flavored","2205 HS92","2021","$729M","0","0.861","-0.484","0.377","Agriculture"
"Pearls","7101 HS92","2021","$729M","0","0.878","-0.444","0.298","Stone"
"Hand-operated appliances, food preparation, <10kg","8210 HS92","2021","$722M","0","0.9","0.812","0.768","Metals"
"Diazo-, azo-, or azoxy-compounds","2927 HS92","2021","$720M","0.0412","0.92","0.99","0.617","Chemicals"
"Dolomite","2518 HS92","2021","$703M","0","0.837","-0.513","0.256","Minerals"
"Yarn of animal hair, not for retail sale","5108 HS92","2021","$701M","0","0.898","-0.272","0.0024","Textiles"
"Musical instruments, wind","9205 HS92","2021","$699M","0.0127","0.93","1.33","1.23","Machinery"
"Transmission belts or belting, of textile material","5910 HS92","2021","$686M","0.0047","0.896","1.03","1.12","Textiles"
"Tin bars and wire","8003 HS92","2021","$681M","0.0057","0.894","0.778","0.747","Metals"
"Animal hair","5102 HS92","2021","$680M","0","0.84","-1.99","0.0532","Textiles"
"Other woven cotton fabrics","5212 HS92","2021","$679M","0.251","0.843","-0.918","0.334","Textiles"
"Other animal fats and oils","1506 HS92","2021","$677M","0","0.905","0.536","0.77","Agriculture"
"Vegetables, fruits and nuts, preserved by sugar","2006 HS92","2021","$674M","0.0755","0.848","-0.708","0.29","Agriculture"
"Cinematographic cameras and projectors","9007 HS92","2021","$666M","0.0111","0.89","0.317","0.893","Machinery"
"Yarn of textile bast fibers","5307 HS92","2021","$662M","0","0.884","-1.19","0.0009","Textiles"
"Natural graphite","2504 HS92","2021","$662M","0","0.9","-0.385","0.51","Minerals"
"Other meat","0208 HS92","2021","$656M","0","0.875","0.243","0.536","Agriculture"
"Hyopchlorites","2828 HS92","2021","$644M","0.215","0.823","-0.446","0.353","Chemicals"
"Synthetic tanning substances","3202 HS92","2021","$636M","0.0136","0.877","-0.163","0.455","Chemicals"
"Products of plaiting materials","4601 HS92","2021","$634M","0.406","0.8","-1.64","-0.0574","Agriculture"
"Carpets of felt","5704 HS92","2021","$634M","0.024","0.884","0.352","0.744","Textiles"
"Stiffened textiles","5901 HS92","2021","$625M","0.0506","0.875","-0.403","0.501","Textiles"
"Lead waste or scrap","7802 HS92","2021","$616M","0","0.843","-0.744","0.222","Metals"
"Gimp yarn","5606 HS92","2021","$615M","0.0068","0.881","0.699","0.821","Textiles"
"Sulfites","2832 HS92","2021","$602M","0.0165","0.896","0.0261","0.695","Chemicals"
"Sodium chlorate","2829 HS92","2021","$598M","0","0.89","-0.212","0.311","Chemicals"
"Coin","7118 HS92","2021","$593M","0","0.919","-0.136","0.775","Stone"
"Zinc powders","7903 HS92","2021","$582M","0.324","0.857","-0.751","0.277","Metals"
"Other slag and ash","2621 HS92","2021","$573M","0.0041","0.878","0.231","0.72","Minerals"
"Original engravings","9702 HS92","2021","$568M","0.317","0.919","0.506","0.641","Textiles"
"Signaling glassware","7014 HS92","2021","$565M","0.0408","0.93","1.43","1.16","Stone"
"Iron and nonalloy steel","7206 HS92","2021","$562M","0","0.836","-0.449","0.263","Metals"
"Smoking pipes","9614 HS92","2021","$551M","0.431","0.86","-0.303","0.444","Machinery"
"Braids in piece","5808 HS92","2021","$550M","0.418","0.845","-0.0628","0.505","Textiles"
"Oxides of boron; boric acids","2810 HS92","2021","$548M","0","0.882","-0.619","0.134","Chemicals"
"Bobbins, spools, cops of paper","4822 HS92","2021","$537M","0.0417","0.849","0.362","0.535","Agriculture"
"Chromium oxides and hydroxides","2819 HS92","2021","$537M","0","0.904","0.113","0.438","Chemicals"
"Rye","1002 HS92","2021","$533M","0","0.904","0.604","0.772","Agriculture"
"Calendars","4910 HS92","2021","$526M","0.0305","0.892","0.421","0.85","Agriculture"
"Yarn of synthetic staple fibers, for retail sale","5511 HS92","2021","$524M","0","0.818","-0.91","-0.0049","Textiles"
"Sulfides; polysulfides","2830 HS92","2021","$522M","0.0133","0.888","-0.462","0.575","Chemicals"
"Other articles of tin","8007 HS92","2021","$521M","0.0035","0.888","0.265","0.46","Metals"
"Densified wood","4413 HS92","2021","$520M","0.0386","0.851","-0.0947","0.489","Agriculture"
"Chemical woodpulp, sulfite","4704 HS92","2021","$519M","0","0.92","0.857","0.792","Agriculture"
"Cullet and other scraps of glass","7001 HS92","2021","$518M","0.437","0.84","-0.607","0.269","Stone"
"Diamond dust","7105 HS92","2021","$511M","0","0.905","1.03","0.871","Stone"
"Yarn of wool or animal hair, for retail sale","5109 HS92","2021","$509M","0","0.884","-0.158","0.68","Textiles"
"Panels of vegetable fibers","6808 HS92","2021","$508M","0.258","0.873","0.347","0.804","Stone"
"Mannequins","9618 HS92","2021","$507M","0.173","0.868","0.0348","0.543","Machinery"
"Other carbon paper","4816 HS92","2021","$500M","0","0.906","0.82","0.944","Agriculture"
"Balances of a sensitivity < 50 milligram","9016 HS92","2021","$498M","0.0071","0.929","1.13","0.802","Machinery"
"Time switches","9107 HS92","2021","$497M","0.0101","0.886","0.755","0.863","Machinery"
"Residual lyes","3804 HS92","2021","$497M","0.0299","0.918","0.297","0.729","Chemicals"
"Yarn of carded wool, not for retail sale","5106 HS92","2021","$496M","0.0089","0.865","-0.124","0.645","Textiles"
"Cereal straw and husks","1213 HS92","2021","$494M","0","0.865","-0.286","0.498","Agriculture"
"Unvulcanized rubber rods","4006 HS92","2021","$493M","0.137","0.901","1.24","1.24","Chemicals"
"Wooden tools","4417 HS92","2021","$493M","0.23","0.847","-0.212","0.454","Agriculture"
"Turpentines","3805 HS92","2021","$484M","0","0.859","-0.866","0.123","Chemicals"
"Cotton waste","5202 HS92","2021","$477M","0.166","0.787","-1.93","-0.183","Textiles"
"Propellant powders","3601 HS92","2021","$468M","0","0.92","0.923","0.773","Chemicals"
"Flax yarn","5306 HS92","2021","$465M","0","0.867","-0.16","0.582","Textiles"
"Musical instruments, percussion","9206 HS92","2021","$464M","0.0062","0.883","-0.475","0.548","Machinery"
"Cotton yarn for retail sale","5207 HS92","2021","$454M","0","0.828","-0.394","0.308","Textiles"
"Parts of umbrellas or walking sticks","6603 HS92","2021","$450M","0.0307","0.872","0.498","0.733","Textiles"
"Raw skins of sheep or lambs","4102 HS92","2021","$448M","0","0.803","-1.35","0.0424","Agriculture"
"Wooden railway ties","4406 HS92","2021","$446M","0","0.884","0.342","0.826","Agriculture"
"Other ores","2617 HS92","2021","$441M","0.535","0.809","-2.72","-0.354","Minerals"
"Other articles of lead","7806 HS92","2021","$435M","0.0164","0.861","-0.679","0.373","Metals"
"Antimony","8110 HS92","2021","$433M","0","0.867","-0.944","0.222","Metals"
"Reclaimed rubber","4003 HS92","2021","$432M","0","0.868","-0.132","0.427","Chemicals"
"Photographic paper","3703 HS92","2021","$432M","0","0.912","0.712","0.654","Chemicals"
"Cloves","0907 HS92","2021","$424M","0","0.862","-1.36","-0.14","Agriculture"
"Zirconium","8109 HS92","2021","$419M","0","0.918","0.868","0.488","Metals"
"Clock movements, complete, unassembled","9110 HS92","2021","$414M","0","0.934","1.14","0.714","Machinery"
"Sulfonitric acids","2808 HS92","2021","$408M","0.0278","0.893","0.349","0.666","Chemicals"
"Master alloys of copper","7405 HS92","2021","$406M","0","0.91","-0.532","0.441","Metals"
"Machines for wine and juice production","8435 HS92","2021","$406M","0.103","0.868","0.278","0.693","Machinery"
"Barbed wire of iron or steel","7313 HS92","2021","$399M","0.164","0.813","-1.02","-0.0025","Metals"
"Natural borates","2528 HS92","2021","$395M","0","0.889","-0.353","0.186","Minerals"
"Apparatus for measuring intervals of time","9106 HS92","2021","$386M","0.0035","0.883","0.58","0.672","Machinery"
"Hats","6504 HS92","2021","$380M","0.0428","0.831","-0.886","0.231","Textiles"
"Asbestos","2524 HS92","2021","$379M","0","0.89","-0.36","0.0431","Minerals"
"Natural abrasives","2513 HS92","2021","$375M","0.161","0.867","-1.21","0.175","Minerals"
"Textile hosepiping and similar tubing","5909 HS92","2021","$373M","0.023","0.908","1.11","1.12","Textiles"
"Vegetable waxes and beeswax","1521 HS92","2021","$366M","0.0083","0.837","-1.65","-0.0864","Agriculture"
"Animal products used in pharmaceuticals","0510 HS92","2021","$365M","0","0.82","-1.66","-0.258","Agriculture"
"Ties, bow ties and cravats","6215 HS92","2021","$365M","0.0567","0.884","-0.128","0.633","Textiles"
"Ferrocerium and other pyrophoric alloys","3606 HS92","2021","$364M","0","0.86","0.569","0.677","Chemicals"
"Tall oil","3803 HS92","2021","$360M","0","0.902","0.487","0.442","Chemicals"
"Bones, simply prepared","0506 HS92","2021","$356M","0","0.858","-0.219","0.477","Agriculture"
"Horse meat","0205 HS92","2021","$351M","0","0.869","-0.434","0.335","Agriculture"
"Hydrochloric acid","2806 HS92","2021","$349M","0.0526","0.866","0.264","0.561","Chemicals"
"Vegetable tanning extracts","3201 HS92","2021","$348M","0.0041","0.877","-1.22","0.117","Chemicals"
"Lead foil <2mm","7804 HS92","2021","$346M","0.0134","0.895","0.374","0.617","Metals"
"Other raw hides and skins","4103 HS92","2021","$344M","0","0.795","-2.03","-0.0763","Agriculture"
"Articles for sewing of iron or steel","7319 HS92","2021","$343M","0.0056","0.906","0.578","0.782","Metals"
"Synthetic staple fibers, processed","5506 HS92","2021","$334M","0.507","0.871","0.28","0.666","Textiles"
"Mechanical woodpulp","4701 HS92","2021","$331M","0","0.904","0.343","0.572","Agriculture"
"Scrap of rubber","4004 HS92","2021","$328M","0.0106","0.852","0.0631","0.558","Chemicals"
"Mica articles","6814 HS92","2021","$327M","0.0114","0.914","1.04","0.892","Stone"
"Linoleum","5904 HS92","2021","$326M","0","0.916","0.486","0.635","Textiles"
"Hand-operated stamps","9611 HS92","2021","$322M","0","0.911","1.02","0.97","Machinery"
"Strips and other pieces of wood","4404 HS92","2021","$322M","0","0.843","-0.196","0.418","Agriculture"
"Parachutes","8804 HS92","2021","$319M","0","0.884","0.513","0.773","Vehicles"
"Tanned skins of other animals","4106 HS92","2021","$319M","0.0612","0.789","-1.9","-0.106","Agriculture"
"Paper trays and similar office equipment, of base metal","8304 HS92","2021","$315M","0.0144","0.893","0.564","0.615","Metals"
"Mica","2525 HS92","2021","$315M","0","0.896","-0.326","0.328","Minerals"
"Vegetable materials used for plaiting","1401 HS92","2021","$303M","0.61","0.818","-1","0.0989","Agriculture"
"Woven fabrics of jute or of other textile bast fibers","5310 HS92","2021","$302M","0.0047","0.815","-1.99","-0.111","Textiles"
"Still image projectors","9008 HS92","2021","$299M","0.0123","0.897","0.816","0.911","Machinery"
"Walking sticks","6602 HS92","2021","$299M","0","0.887","0.202","0.56","Textiles"
"Dithionites and sulfoxylates","2831 HS92","2021","$287M","0","0.897","0.247","0.665","Chemicals"
"Quilted textile products","5811 HS92","2021","$284M","0.787","0.833","-0.0087","0.453","Textiles"
"Extracts and juices of meat or fish","1603 HS92","2021","$280M","0.0138","0.886","0.0242","0.402","Agriculture"
"Cotton, carded or combed","5203 HS92","2021","$279M","0.206","0.823","-1.23","-0.0376","Textiles"
"Preparations for fire extinguishers","3813 HS92","2021","$277M","0.144","0.898","0.677","0.884","Chemicals"
"Hard rubber","4017 HS92","2021","$274M","0.0174","0.836","0.21","0.529","Chemicals"
"Raw silk","5002 HS92","2021","$266M","0","0.876","-0.549","0.305","Textiles"
"Hydroxides or peroxides of magnesium","2816 HS92","2021","$262M","0","0.914","0.832","0.876","Chemicals"
"Anchors of iron or steel","7316 HS92","2021","$261M","0","0.886","0.294","0.659","Metals"
"Composition leather","4111 HS92","2021","$261M","0","0.866","-0.304","0.482","Agriculture"
"Degras and wax residues","1522 HS92","2021","$259M","0.0245","0.861","-0.648","0.493","Agriculture"
"Color lakes","3205 HS92","2021","$259M","0.0146","0.883","-0.126","0.588","Chemicals"
"Prepared driers","3211 HS92","2021","$257M","0.0241","0.859","-0.236","0.378","Chemicals"
"Textile bast fibers","5303 HS92","2021","$257M","0.0023","0.825","-1.57","-0.0789","Textiles"
"Aluminum containers, >300 liters","7611 HS92","2021","$247M","0","0.879","0.644","0.984","Metals"
"Wool grease","1505 HS92","2021","$243M","0","0.905","-0.0846","0.677","Agriculture"
"Fruits and nuts, provisionally preserved","0812 HS92","2021","$242M","0.508","0.795","-1.22","-0.0728","Agriculture"
"Raw hides of bovines or equines","4101 HS92","2021","$241M","0","0.807","-1.54","0.0116","Agriculture"
"Clock or watch glasses and similar glasses","7015 HS92","2021","$238M","0","0.905","0.577","0.865","Stone"
"Zinx bars and wire","7904 HS92","2021","$235M","0","0.899","0.81","0.852","Metals"
"Sulfur, sublimed or precipitated","2802 HS92","2021","$233M","0.0222","0.897","-0.324","0.314","Chemicals"
"Travel sets","9605 HS92","2021","$232M","0.019","0.86","-0.954","0.183","Machinery"
"Sulfides of nonmetals","2813 HS92","2021","$231M","0","0.926","0.95","0.932","Chemicals"
"Metallised yarn","5605 HS92","2021","$228M","0.0193","0.887","0.479","0.835","Textiles"
"Filter blocks of paper pulp","4812 HS92","2021","$225M","0.0087","0.896","0.98","0.983","Agriculture"
"Tapioca","1903 HS92","2021","$214M","0.238","0.849","-1.44","0.0009","Agriculture"
"Human hair, unworked","0501 HS92","2021","$212M","0","0.852","-0.901","0.0474","Agriculture"
"Terry cloth","5802 HS92","2021","$201M","0.0451","0.823","-1.18","0.153","Textiles"
"Siliceous fossil meals and earths","2512 HS92","2021","$198M","0.0045","0.855","-0.398","0.365","Minerals"
"Matches","3605 HS92","2021","$194M","0","0.827","-1.13","-0.0926","Chemicals"
"Whalebone & horns","0507 HS92","2021","$190M","0.0174","0.841","-1.23","0.0092","Agriculture"
"Woven fabrics of vegetable textile fibers","5311 HS92","2021","$187M","0.579","0.862","-0.613","0.289","Textiles"
"Mate","0903 HS92","2021","$184M","0","0.852","-1.64","-0.118","Agriculture"
"Tungsten ore","2611 HS92","2021","$184M","0","0.835","-2.14","-0.152","Minerals"
"Silver clad metals","7107 HS92","2021","$182M","0.644","0.919","0.777","0.813","Stone"
"Silk yarn","5004 HS92","2021","$178M","0","0.858","-0.395","0.313","Textiles"
"Uranium ore","2612 HS92","2021","$173M","0","0.896","-2.31","0.0006","Minerals"
"Asbestos fibres","6812 HS92","2021","$172M","0.0274","0.889","0.209","0.718","Stone"
"Lead oxides","2824 HS92","2021","$171M","0","0.862","-0.484","0.333","Chemicals"
"Worked animal carving material","9601 HS92","2021","$159M","0.68","0.838","-1.07","0.121","Machinery"
"Other musical instruments, n.e.c.","9208 HS92","2021","$155M","0.392","0.913","0.714","0.711","Machinery"
"Cotton sewing thread","5204 HS92","2021","$155M","0.637","0.806","-0.988","0.0866","Textiles"
"Maps","4905 HS92","2021","$150M","0","0.89","0.606","0.913","Agriculture"
"Handkerchiefs","6213 HS92","2021","$140M","0.774","0.854","-0.583","0.002","Textiles"
"Synthetic filament yarn for retail sale","5406 HS92","2021","$139M","0","0.873","-0.131","0.0023","Textiles"
"Bismuth","8106 HS92","2021","$137M","0","0.914","0.542","0.0034","Metals"
"Wood tar and oils","3807 HS92","2021","$135M","0.622","0.912","1.17","0.0038","Chemicals"
"Chalk","2509 HS92","2021","$133M","0.0127","0.854","-0.258","0.0024","Minerals"
"Ceramic pipes","6906 HS92","2021","$131M","0.0173","0.904","0.878","0.004","Stone"
"Feathers or down","6701 HS92","2021","$130M","0.131","0.882","-0.367","0.0023","Textiles"
"Chamois leather","4108 HS92","2021","$129M","0.448","0.848","-0.508","0.0019","Agriculture"
"Textile wall coverings","5905 HS92","2021","$128M","0.0046","0.907","0.862","0.0041","Textiles"
"Yarn of other vegetable textile fibers","5308 HS92","2021","$114M","0","0.838","-1.05","0.0012","Textiles"
"Gold clad metals","7109 HS92","2021","$114M","0","0.902","0.945","0.0031","Stone"
"Silk waste","5003 HS92","2021","$114M","0","0.888","-1.29","0.0014","Textiles"
"Artificial fur","4304 HS92","2021","$113M","0.0078","0.872","-0.242","0.0025","Agriculture"
"Needlecraft sets of woven fabric and yarn","6308 HS92","2021","$111M","0.432","0.84","0.065","0.0025","Textiles"
"Brushmaking hair","0502 HS92","2021","$110M","0","0.905","-0.435","0.0014","Agriculture"
"Copra","1203 HS92","2021","$109M","0","0.874","-1.87","0.0007","Agriculture"
"Postage or revenue stamps","9704 HS92","2021","$106M","0.0243","0.874","-0.162","0.002","Textiles"
"Wood wool or flour","4405 HS92","2021","$98.0M","0","0.89","0.142","0.0031","Agriculture"
"Acetals and hemiacetals","2911 HS92","2021","$92.6M","0","0.913","1.47","0.0043","Chemicals"
"Hemp fiber","5302 HS92","2021","$90.0M","0","0.887","0.449","0.0035","Textiles"
"Yarn from silk waste","5005 HS92","2021","$89.7M","0","0.911","1.17","0.0026","Textiles"
"Derivatives of aldehydes","2913 HS92","2021","$88.4M","0","0.92","0.742","0.003","Chemicals"
"Cobalt ore","2605 HS92","2021","$88.3M","0.0131","0.912","-3.15","0.0008","Minerals"
"Gliders, hang gliders","8801 HS92","2021","$87.4M","0","0.891","0.463","0.0033","Vehicles"
"Architectural, engineering, etc. drawings","4906 HS92","2021","$85.6M","0.0116","0.883","0.516","0.0038","Agriculture"
"Unroasted iron pyrites","2502 HS92","2021","$83.7M","0.31","0.895","0.0728","0.0024","Minerals"
"Swords","9307 HS92","2021","$83.4M","0.0086","0.88","-0.152","0.0028","Machinery"
"Slate","2514 HS92","2021","$82.6M","0","0.863","-0.51","0.002","Minerals"
"Music, printed or in manuscript","4904 HS92","2021","$81.9M","0","0.921","1.42","0.0035","Agriculture"
"Gauze","5803 HS92","2021","$81.5M","0","0.9","0.396","0.0033","Textiles"
"Hat forms","6501 HS92","2021","$76.9M","0.0394","0.863","-1.15","0.0012","Textiles"
"Wool or animal hair waste","5103 HS92","2021","$75.9M","0","0.867","-0.508","0.0021","Textiles"
"Instrument panel clocks for vehicles","9104 HS92","2021","$75.8M","0.0513","0.892","0.503","0.0036","Machinery"
"Lard oil, tallow oil etc.","1503 HS92","2021","$75.6M","0","0.914","0.162","0.0028","Agriculture"
"Glazed ceramic flags and pavers","6908 HS92","2021","$72.9M","0","0.869","-1.01","0.001","Stone"
"Clocks with watch movements","9103 HS92","2021","$68.7M","0","0.892","0.793","0.0035","Machinery"
"Hand sieves and riddles","9604 HS92","2021","$63.9M","0.0825","0.891","0.497","0.0038","Machinery"
"Clock movements, complete","9109 HS92","2021","$62.5M","0.0094","0.892","0.451","0.0037","Machinery"
"Textile wicks","5908 HS92","2021","$59.8M","0.0856","0.885","-0.325","0.0025","Textiles"
"Solid peanut residues","2305 HS92","2021","$54.9M","0","0.884","-1.78","0.0008","Agriculture"
"Photographic film, not developed","3704 HS92","2021","$54.2M","0","0.9","0.869","0.0036","Chemicals"
"Cadmium","8107 HS92","2021","$46.2M","0","0.897","-0.146","0.0023","Metals"
"Cocoa residues","1802 HS92","2021","$39.5M","0","0.876","-1.79","0.0014","Agriculture"
"Articles of gut","4206 HS92","2021","$35.2M","0","0.893","-0.334","0.0019","Agriculture"
"Artificial staple fibers, processed","5507 HS92","2021","$31.4M","0.175","0.9","0.908","0.0036","Textiles"
"Woven fabric incorporating metal threads","5809 HS92","2021","$30.3M","0.0471","0.875","-0.0795","0.0027","Textiles"
"Artificial monofilament >67dtex t<1mm, strip, straws t<5mm","5405 HS92","2021","$28.5M","0","0.897","0.444","0.0027","Textiles"
"Hat shapes","6502 HS92","2021","$28.4M","0.835","0.869","-1.29","0.0014","Textiles"
"Non-petroleum gases","2705 HS92","2021","$20.9M","0","0.92","1.64","0.0029","Minerals"
"Motion-picture film","3706 HS92","2021","$16.5M","0","0.897","0.965","0.0035","Chemicals"
"Wine lees","2307 HS92","2021","$15.3M","0","0.872","-0.543","0.0019","Agriculture"
"Silk yarn, for retail sale","5006 HS92","2021","$11.2M","0","0.869","0.197","0.0036","Textiles"
"Woven fabrics of coarse animal hair","5113 HS92","2021","$10.3M","0.113","0.88","-0.316","0.0024","Textiles"
"Silkworm cocoons","5001 HS92","2021","$9.03M","0","0.876","-1.66","0.0008","Textiles"
"Yarn of coarse animal hair or of horsehair","5110 HS92","2021","$6.25M","0","0.903","-0.526","0.0018","Textiles"
"Garnetted stock of wool or animal hair","5104 HS92","2021","$4.66M","0","0.909","0.664","0.0027","Textiles"
